object			
volume	00216x04	James Diderot & al.	{date}
entry	GENISTELLA	0	
orth	GENISTELLA		
entry	GENITURA	0	
orth	GENITURA		
entry	GENIUS	0	
orth	GENIUS		
entry	GENOS, GENUS	0	
orth	GENOS		
orth	GENUS		
entry	GENSING	0	
orth	GENSING		
clique	Gingfzeng		
entry	GENTIANA	1	
orth	GENTIANA		
pb	101	0053	
entry	GENTIANELLA	0	
orth	GENTIANELLA		
entry	GENTIAPOLIS	0	
orth	GENTIAPOLIS		
entry	GENTILITIUS	0	
orth	GENTILITIUS		
entry	GENU	0	
orth	GENU		
clique	Crus		
entry	GENUGRA	0	
orth	GENUGRA		
entry	GENYS	0	
orth	GENYS		
clique	Gena		
entry	GEODES LAPIS	0	
orth	GEODES LAPIS		
entry	GEOPILYSIA	0	
orth	GEOPILYSIA		
entry	GERÆTEROS	0	
orth	GERÆTEROS		
entry	GERANDRYON	0	
orth	GERANDRYON		
entry	GERANIS	0	
orth	GERANIS		
entry	GERANIUM	2	
orth	GERANIUM		
pb	103	0054	
pb	105	0055	
entry	GERARAT	0	
orth	GERARAT		
entry	GERARDI HERBA	0	
orth	GERARDI HERBA		
clique	Angelica		
entry	GERAS	0	
orth	GERAS		
entry	GERMEN	0	
orth	GERMEN		
entry	GERMINATIO	0	
orth	GERMINATIO		
entry	GEROCOMIA	0	
orth	GEROCOMIA		
entry	GEROCOMICE	0	
orth	GEROCOMICE		
entry	GERONTOPOGON	0	
orth	GERONTOPOGON		
entry	GERSA	0	
orth	GERSA		
entry	GERULA	0	
orth	GERULA		
entry	GERYON	0	
orth	GERYON		
entry	GESNERA	0	
orth	GESNERA		
entry	GESOR	0	
orth	GESOR		
entry	GESTATIO	0	
orth	GESTATIO		
clique	Æora. Gestatio se		
entry	GESTICULATIO	0	
orth	GESTICULATIO		
entry	GEUM	0	
orth	GEUM		
clique	Saxifraga		
entry	GEUMA	0	
orth	GEUMA		
entry	GHAHALA	0	
orth	GHAHALA		
entry	GHANDIROBA, NHANDIROBA	0	
orth	GHANDIROBA		
orth	NHANDIROBA		
entry	GHITTA	0	
orth	GHITTA		
entry	GIALAPPA, GIALAPIUM, JALAPPA	0	
orth	GIALAPPA		
orth	GIALAPIUM		
orth	JALAPPA		
entry	GIBAR	1	
orth	GIBAR		
pb	107	0056	
entry	GIBBEROSITAS, GIBBOSITAS	0	
orth	GIBBEROSITAS		
orth	GIBBOSITAS		
clique	Cyphoses		
entry	GIFFÆ	0	
orth	GIFFÆ		
entry	GIGARTON	0	
orth	GIGARTON		
entry	GIGARUS	0	
orth	GIGARUS		
entry	GIGERIÆ	0	
orth	GIGERIÆ		
entry	GILARUM	0	
orth	GILARUM		
entry	GILLA VITRIOLI	0	
orth	GILLA VITRIOLI		
clique	Vitriolum		
entry	GINGIBER	0	
orth	GINGIBER		
entry	GINGIBRACHIUM	0	
orth	GINGIBRACHIUM		
entry	GINGIDIUM	0	
orth	GINGIDIUM		
entry	GINGIVÆ	0	
orth	GINGIVÆ		
clique	Dens s Epulis s et		
entry	GINGIPEDIUM	0	
orth	GINGIPEDIUM		
clique	Gingibrachium		
entry	GINGLYMUS	0	
orth	GINGLYMUS		
entry	GINSZENG	2	
orth	GINSZENG		
pb	109	0057	
pb	111	0058	
entry	GIR	0	
orth	GIR		
entry	GIRGIES	0	
orth	GIRGIES		
entry	GIRMER	0	
orth	GIRMER		
entry	GISCARA	0	
orth	GISCARA		
entry	GISISIM	0	
orth	GISISIM		
entry	GIT, GITH	0	
orth	GIT		
orth	GITH		
entry	GITHAGO	0	
orth	GITHAGO		
entry	GIUHNAXOCHITL	0	
orth	GIUHNAXOCHITL		
entry	GLABELLA	0	
orth	GLABELLA		
entry	GLACIES MARIÆ	0	
orth	GLACIES MARIÆ		
entry	GLADIOLUS	0	
orth	GLADIOLUS		
clique	Acorus Adulterinus		
entry	GLADIUS	0	
orth	GLADIUS		
entry	GLAMA, GLAME	0	
orth	GLAMA		
orth	GLAME		
entry	GLANDES TERRÆ	1	
orth	GLANDES TERRÆ		
pb	113	0059	
entry	GLANDIUM	0	
orth	GLANDIUM		
entry	GLANDOSUM CORPUS	0	
orth	GLANDOSUM CORPUS		
entry	GLANDULA	3	
