object			
volume	61157	Bégin	{date}
entry	PAGANINA	0	
orth	PAGANINA		
entry	PAGOYUM	0	
orth	PAGOYUM		
entry	PAGRUS	0	
orth	PAGRUS		
entry	PAIANELI	1	
orth	PAIANELI		
pb	293	0149	
entry	PAIOMIRIOBA	0	
orth	PAIOMIRIOBA		
entry	PAIPAROCA	0	
orth	PAIPAROCA		
entry	PALA	0	
orth	PALA		
entry	PALÆSTE	0	
orth	PALÆSTE		
entry	PALÆTYRUS	0	
orth	PALÆTYRUS		
entry	PALATINÆ GLANDULÆ	0	
orth	PALATINÆ GLANDULÆ		
entry	PALATUM	2	
orth	PALATUM		
pb	295	0150	
pb	297	0151	
entry	PALE	0	
orth	PALE		
entry	PALEAR	0	
orth	PALEAR		
clique	Callaeon		
entry	PALEGA-PAIANELI	0	
orth	PALEGA-PAIANELI		
clique	PaianelI		
entry	PALIMBOLOS	0	
orth	PALIMBOLOS		
entry	PALIMPISSA	0	
orth	PALIMPISSA		
entry	PALINCOTOS	0	
orth	PALINCOTOS		
entry	PALINDROMIA	0	
orth	PALINDROMIA		
entry	PALINGENESIA	0	
orth	PALINGENESIA		
entry	PALINIDRYSIS	0	
orth	PALINIDRYSIS		
entry	PALINOPTOS	0	
orth	PALINOPTOS		
entry	PALIRRHŒA	0	
orth	PALIRRHŒA		
entry	PALIURUS	0	
orth	PALIURUS		
entry	PALLAX	0	
orth	PALLAX		
entry	PALLIATIO	1	
orth	PALLIATIO		
pb	299	0152	
entry	PALLIUM PURPUREUM	0	
orth	PALLIUM PURPUREUM		
entry	PALMA	4	
orth	PALMA		
pb	301	0153	
clique	Draconis sanguis		
pb	303	0154	
clique	Coccus de Maldiva		
pb	305	0155	
pb	307	0156	
clique	Chœnix & Congius		
entry	PALMARIS MUSCULUS	0	
orth	PALMARIS MUSCULUS		
entry	PALMATA	0	
orth	PALMATA		
entry	PALMOS	0	
orth	PALMOS		
clique	Palpitatio		
entry	PALMULA	0	
orth	PALMULA		
entry	PALPEBRÆ	0	
orth	PALPEBRÆ		
clique	Oculus		
entry	PALPITATIO	8	
orth	PALPITATIO		
pb	309	0157	
pb	311	0158	
pb	313	0159	
pb	315	0160	
pb	317	0161	
pb	319	0162	
pb	321	0163	
pb	323	0164	
entry	PALTIFERA ARBOR	0	
orth	PALTIFERA ARBOR		
entry	PALUDAPIUM	0	
orth	PALUDAPIUM		
clique	Apium		
entry	PALUMBUS	0	
orth	PALUMBUS		
entry	PAMPATHES	0	
orth	PAMPATHES		
entry	PAMPHILION	0	
orth	PAMPHILION		
entry	PAMPINIFORME CORPUS	0	
orth	PAMPINIFORME CORPUS		
entry	PAMPINUS	0	
orth	PAMPINUS		
entry	PANACEA	0	
orth	PANACEA		
entry	PANALETHES	0	
orth	PANALETHES		
entry	PANARITIUM	0	
orth	PANARITIUM		
clique	Paronychia		
entry	PANATA, PANATELLA	0	
orth	PANATA		
orth	PANATELLA		
entry	PANAX ASCLEPIUM	1	
orth	PANAX ASCLEPIUM		
pb	325	0165	
entry	PANCALA AUREA	0	
orth	PANCALA AUREA		
entry	PANCARPIA	0	
orth	PANCARPIA		
entry	PANCASEOLUS	0	
orth	PANCASEOLUS		
entry	PANCHRESTOS	0	
orth	PANCHRESTOS		
entry	PANCHRYSOS	0	
orth	PANCHRYSOS		
entry	PANCHYMAGOGUM	0	
orth	PANCHYMAGOGUM		
entry	PANCOENOS	0	
orth	PANCOENOS		
entry	PANCRATIANUS PULVIS	0	
orth	PANCRATIANUS PULVIS		
entry	PANCRATIUM	0	
orth	PANCRATIUM		
entry	PANCREAS	2	
orth	PANCREAS		
pb	327	0166	
clique	Hepar		
pb	329	0167	
entry	PANCRENE	0	
orth	PANCRENE		
