object			
volume	61157	Bégin	{date}
orth	PHRYGIUS LAPIS		
pb	557	0281	
entry	PHRYMION	0	
orth	PHRYMION		
clique	Poterium		
entry	PHTHARTICOS	0	
orth	PHTHARTICOS		
entry	PHTHEINAS	0	
orth	PHTHEINAS		
clique	Phthinodes		
entry	PHTHEIRIASIS	0	
orth	PHTHEIRIASIS		
clique	Phthiriasis		
entry	PHTHEIROCTONON	0	
orth	PHTHEIROCTONON		
entry	PHTHINICE	0	
orth	PHTHINICE		
entry	PHTHINODES	0	
orth	PHTHINODES		
entry	PHTHINOPORON	0	
orth	PHTHINOPORON		
entry	PHTHIRIASIS	2	
orth	PHTHIRIASIS		
clique	Morpiones		
pb	559	0282	
pb	561	0283	
entry	PHTHIRION	0	
orth	PHTHIRION		
entry	PHTHISICUS	0	
orth	PHTHISICUS		
entry	PHTHISIS	16	
orth	PHTHISIS		
pb	563	0284	
pb	565	0285	
pb	567	0286	
pb	569	0287	
pb	571	0288	
clique	Lac		
pb	573	0289	
pb	575	0290	
pb	577	0291	
pb	579	0292	
pb	581	0293	
pb	583	0294	
pb	585	0295	
pb	587	0296	
pb	589	0297	
pb	591	0298	
pb	593	0299	
entry	PHTHOE	0	
orth	PHTHOE		
entry	PHTHOIS	0	
orth	PHTHOIS		
entry	PHTHORA	0	
orth	PHTHORA		
entry	PHTHORIAS	0	
orth	PHTHORIAS		
entry	PHTHOROPOEOS	0	
orth	PHTHOROPOEOS		
entry	PHU	0	
orth	PHU		
entry	PHUSCA	0	
orth	PHUSCA		
entry	PHYCIS	0	
orth	PHYCIS		
entry	PHYTICA	0	
orth	PHYTICA		
entry	PHYLLIREA	0	
orth	PHYLLIREA		
entry	PHYLLITIS	0	
orth	PHYLLITIS		
entry	PHYLLON	0	
orth	PHYLLON		
entry	PHYMA	0	
orth	PHYMA		
entry	PHYMATA	0	
orth	PHYMATA		
entry	PHYMOSIS	0	
orth	PHYMOSIS		
entry	PHYMUS	0	
orth	PHYMUS		
entry	PHYPELLA	0	
orth	PHYPELLA		
entry	PHYRAMA	0	
orth	PHYRAMA		
clique	Ammoniacum		
entry	PHYSA, PHYSE	1	
orth	PHYSA		
orth	PHYSE		
pb	595	0300	
entry	PHYSALIS	0	
orth	PHYSALIS		
entry	PHYSALOS	0	
orth	PHYSALOS		
entry	PHYSEMA	0	
orth	PHYSEMA		
entry	PHYSESIS	0	
orth	PHYSESIS		
entry	PHYSICA REMEDIA	0	
orth	PHYSICA REMEDIA		
entry	PHYSINX	0	
orth	PHYSINX		
entry	PHYSIOGNOMIA	0	
orth	PHYSIOGNOMIA		
entry	PHYSIOLOGIA	0	
orth	PHYSIOLOGIA		
entry	PHYSOCELE	0	
orth	PHYSOCELE		
entry	PHYSTE	0	
orth	PHYSTE		
entry	PHYTALIA	0	
orth	PHYTALIA		
entry	PHYTEUMA	0	
orth	PHYTEUMA		
entry	PHYTOLACCA	0	
orth	PHYTOLACCA		
entry	PHYTOLOGIA	0	
orth	PHYTOLOGIA		
entry	PHYXIMOS	0	
orth	PHYXIMOS		
entry	PIA MATER	0	
orth	PIA MATER		
entry	PIANTERIA	0	
orth	PIANTERIA		
entry	PIATTONES	0	
orth	PIATTONES		
entry	PICA	2	
orth	PICA		
pb	597	0301	
pb	599	0302	
entry	PICACISMUS	0	
orth	PICACISMUS		
entry	PICANS	0	
orth	PICANS		
entry	PICATIO	0	
orth	PICATIO		
entry	PICATUM VINUM	0	
orth	PICATUM VINUM		
clique	Pinsites		
entry	PICEA	0	
orth	PICEA		
clique	Abies		
entry	PICERION	0	
orth	PICERION		
entry	PICINUM OLEUM	0	
orth	PICINUM OLEUM		
entry	PICOTA	0	
orth	PICOTA		
entry	PICRIS	0	
orth	PICRIS		
entry	PICHROCHOLOS	0	
orth	PICHROCHOLOS		
entry	PICTONUM COLICA, COLICA PICTONIA, PICTAVIENSIS	1	
orth	PICTONUM COLICA		
orth	COLICA PICTONIA		
orth	PICTAVIENSIS		
pb	601	0303	
entry	PICUS MARTIS	0	
orth	PICUS MARTIS		
entry	PIESMA	0	
orth	PIESMA		
entry	PIESTER	0	
orth	PIESTER		
entry	PIESTRON	0	
orth	PIESTRON		
entry	PIGMENTARIUS	0	
orth	PIGMENTARIUS		
entry	PILA	0	
orth	PILA		
entry	PILA MARINA	0	
orth	PILA MARINA		
entry	PILARELLA	0	
orth	PILARELLA		
entry	PILARIS MORBUS	0	
orth	PILARIS MORBUS		
entry	PILATIO	0	
orth	PILATIO		
entry	PILEUS, PILIOLUS	0	
orth	PILEUS		
orth	PILIOLUS		
clique	Cucupha		
entry	PILI ZENII	0	
orth	PILI ZENII		
entry	PILIMICTIO	0	
orth	PILIMICTIO		
clique	Trichiasis		
entry	PILIPOC	1	
orth	PILIPOC		
pb	603	0304	
entry	PILORIS	0	
orth	PILORIS		
entry	PILULA	3	
orth	PILULA		
pb	605	0305	
clique	Aloephanginae		
clique	Aloe		
clique	AmrilO		
clique	Cytos.o-Gemsta		
clique	Coelela		
clique	Cynoglossum		
pb	607	0306	
pb	609	0307	
entry	PILUM	0	
orth	PILUM		
entry	PILUS	0	
orth	PILUS		
clique	Capillus		
entry	PIMENTA	0	
orth	PIMENTA		
entry	PIMPINELLA	1	
orth	PIMPINELLA		
pb	611	0308	
entry	PIMPINICHI	0	
orth	PIMPINICHI		
entry	PINASTAR	0	
orth	PINASTAR		
clique	Pinus		
entry	PINDAIBA	0	
orth	PINDAIBA		
entry	PINDOVA	0	
orth	PINDOVA		
entry	PINEA	0	
orth	PINEA		
entry	PINEALIS GLANDULA	0	
orth	PINEALIS GLANDULA		
entry	PINEATUM	0	
orth	PINEATUM		
entry	PINEI	1	
orth	PINEI		
pb	613	0309	
entry	PINGUEDO	0	
orth	PINGUEDO		
entry	PINGUICULA	0	
orth	PINGUICULA		
entry	PINIPINICHI	0	
orth	PINIPINICHI		
entry	PINNA	0	
orth	PINNA		
entry	PINNACULUM FORNICIS GUTTURALIS	0	
orth	PINNACULUM FORNICIS GUTTURALIS		
clique	Uvula		
entry	PINO	0	
orth	PINO		
entry	PINOGUACU	0	
orth	PINOGUACU		
entry	PINUS	2	
orth	PINUS		
pb	615	0310	
clique	Thus		
clique	Pix BurgunTtca		
pb	617	0311	
entry	PIPA	0	
orth	PIPA		
entry	PIPER ALBUM	0	
orth	PIPER ALBUM		
entry	PIPER NIGRUM	2	
orth	PIPER NIGRUM		
pb	619	0312	
clique	Caryophylus		
clique	Capsicum		
pb	621	0313	
entry	PIPERELLA	0	
orth	PIPERELLA		
entry	PIPERITIS	0	
orth	PIPERITIS		
entry	PISCATORIS EMPLASTRUM	0	
orth	PISCATORIS EMPLASTRUM		
entry	PISO	0	
orth	PISO		
entry	PISONIA	0	
orth	PISONIA		
entry	PISSANTHOS	0	
orth	PISSANTHOS		
entry	PISSASPHALTOS	0	
orth	PISSASPHALTOS		
clique	Bitumen		
entry	PISSE	0	
orth	PISSE		
entry	PISSELÆUM	0	
orth	PISSELÆUM		
clique	Pictonum Colica		
entry	PISSEROS	1	
orth	PISSEROS		
pb	623	0314	
entry	PISSITES	0	
orth	PISSITES		
entry	PISSOCEROS	0	
orth	PISSOCEROS		
entry	PISSOSIS	0	
orth	PISSOSIS		
clique	Picatio		
entry	PISTACHIA	0	
orth	PISTACHIA		
entry	PISTATIO	0	
orth	PISTATIO		
entry	PISTILLUM	0	
orth	PISTILLUM		
entry	PISTOLOCHIA	0	
orth	PISTOLOCHIA		
entry	PISUM	0	
orth	PISUM		
entry	PITACIUM	0	
orth	PITACIUM		
entry	PITHA	0	
orth	PITHA		
entry	PITINE	0	
orth	PITINE		
entry	PITOMA	0	
orth	PITOMA		
entry	PITTONIA	0	
orth	PITTONIA		
entry	PITTOSIS	0	
orth	PITTOSIS		
entry	PITUINA	0	
orth	PITUINA		
entry	PITUITA	0	
orth	PITUITA		
clique	Phlegma		
entry	PITUITARIA GLANDULA	0	
orth	PITUITARIA GLANDULA		
entry	PITYIDES	0	
orth	PITYIDES		
entry	PITYLISMA	0	
orth	PITYLISMA		
entry	PITYOCAMPE	0	
orth	PITYOCAMPE		
pb	625	0315	
entry	PITYRIASIS	0	
orth	PITYRIASIS		
clique	Lepra		
entry	PITYROIDES	0	
orth	PITYROIDES		
entry	PITYS	0	
orth	PITYS		
entry	PITYUSA	0	
orth	PITYUSA		
clique	Tithymalus		
entry	PIX	9	
orth	PIX		
pb	627	0316	
pb	629	0317	
clique	Ambra		
pb	631	0318	
pb	633	0319	
pb	635	0320	
pb	637	0321	
pb	639	0322	
pb	641	0323	
pb	643	0324	
entry	PLACENTA	0	
orth	PLACENTA		
clique	Secundinae		
entry	PLACENTULA	0	
orth	PLACENTULA		
entry	PLACITIS	0	
orth	PLACITIS		
entry	PLADAROTES	0	
orth	PLADAROTES		
entry	PLADOS	0	
orth	PLADOS		
entry	PLAGULA	0	
orth	PLAGULA		
entry	PLANETES PYRETOS	0	
orth	PLANETES PYRETOS		
entry	PLANITIES	0	
orth	PLANITIES		
entry	PLANTA	0	
orth	PLANTA		
clique	Botanica		
entry	PLANTAGINELLA	0	
orth	PLANTAGINELLA		
entry	PLANTAGO	2	
orth	PLANTAGO		
pb	645	0325	
pb	647	0326	
entry	PLANTARIS MUSCULUS, TIBIALIS GRACILIS	0	
orth	PLANTARIS MUSCULUS		
orth	TIBIALIS GRACILIS		
entry	PLASTICUS	0	
orth	PLASTICUS		
entry	PLATÆ	0	
orth	PLATÆ		
entry	PLATAMON	0	
orth	PLATAMON		
entry	PLATANARIA	0	
orth	PLATANARIA		
entry	PLATANUS	1	
orth	PLATANUS		
pb	649	0327	
entry	PLATEA	0	
orth	PLATEA		
entry	PLATIASMOS	0	
orth	PLATIASMOS		
entry	PLATYCORIA	0	
orth	PLATYCORIA		
entry	PLATYOPHTHALMON	0	
orth	PLATYOPHTHALMON		
entry	PLATYPHYLLOS	0	
orth	PLATYPHYLLOS		
entry	PLATYSMA	0	
orth	PLATYSMA		
entry	PLATYSMA MYOIDES	0	
orth	PLATYSMA MYOIDES		
entry	PLATYSTERNOS	0	
orth	PLATYSTERNOS		
entry	PLECHAS	0	
orth	PLECHAS		
entry	PLECTANE	0	
orth	PLECTANE		
entry	PLECTRUM	0	
orth	PLECTRUM		
entry	PLEGMA	0	
orth	PLEGMA		
entry	PLEGMARIA	0	
orth	PLEGMARIA		
clique	Selago		
entry	PLEIAS	0	
orth	PLEIAS		
entry	PLEMMYRIS	0	
orth	PLEMMYRIS		
entry	PLEMNE	0	
orth	PLEMNE		
entry	PLENILUNIUM	0	
orth	PLENILUNIUM		
entry	PLENNA	0	
orth	PLENNA		
entry	PLERES ARCHONTICON	0	
orth	PLERES ARCHONTICON		
entry	PLEROSIS	0	
orth	PLEROSIS		
entry	PLESMONE	0	
orth	PLESMONE		
entry	PLETHORA	4	
orth	PLETHORA		
pb	651	0328	
pb	653	0329	
pb	655	0330	
pb	657	0331	
entry	PLETHORICUS	0	
orth	PLETHORICUS		
entry	PLETHRON	0	
orth	PLETHRON		
entry	PLEURA	1	
orth	PLEURA		
pb	659	0332	
entry	PLEURITIS	0	
orth	PLEURITIS		
clique	Peripneumonia		
entry	PLEURON	0	
orth	PLEURON		
entry	PLEUROPNEUMONIA	0	
orth	PLEUROPNEUMONIA		
entry	PLEURORTHOPNÆA	0	
orth	PLEURORTHOPNÆA		
entry	PLEXUS	0	
orth	PLEXUS		
entry	PLICA POLONICA	1	
orth	PLICA POLONICA		
pb	661	0333	
entry	PLICHAS	0	
orth	PLICHAS		
entry	PLINIA	0	
orth	PLINIA		
entry	PLINTHIUM	0	
orth	PLINTHIUM		
entry	PLINTHITIS	0	
orth	PLINTHITIS		
entry	PLOTES	0	
orth	PLOTES		
entry	PLUMACEOLUS	0	
orth	PLUMACEOLUS		
entry	PLUMACEUS	0	
orth	PLUMACEUS		
entry	PLUMBAGO	0	
orth	PLUMBAGO		
clique	Molybdaena		
entry	PLUMBUM	5	
orth	PLUMBUM		
pb	663	0334	
pb	665	0335	
pb	667	0336	
pb	669	0337	
pb	671	0338	
entry	PLUMIERIA	0	
orth	PLUMIERIA		
entry	PLUMOSUM	1	
orth	PLUMOSUM		
pb	673	0339	
entry	PLUTEA	0	
orth	PLUTEA		
entry	PLUVIALIS	0	
orth	PLUVIALIS		
entry	PLUMA	0	
orth	PLUMA		
entry	PNEUMA	1	
orth	PNEUMA		
clique	Araeon		
pb	675	0340	
clique	LProrrhet		
clique	Respiratio		
entry	PNEUMATIÆ	0	
orth	PNEUMATIÆ		
clique	Pneumatodes		
entry	PNEUMATICI	0	
orth	PNEUMATICI		
entry	PNEUMATOCELE	0	
orth	PNEUMATOCELE		
entry	PNEUMATODES	0	
orth	PNEUMATODES		
entry	PNEUMATOMPHALOS	0	
orth	PNEUMATOMPHALOS		
entry	PNEUMATOSIS	0	
orth	PNEUMATOSIS		
entry	PNEUMENOS	0	
orth	PNEUMENOS		
entry	PNEUMON	0	
orth	PNEUMON		
entry	PNEUMONANTHE	0	
orth	PNEUMONANTHE		
entry	PNEUMONICUS	0	
orth	PNEUMONICUS		
entry	PNEUMOPLEURITIS	0	
orth	PNEUMOPLEURITIS		
entry	PNIGITES	0	
orth	PNIGITES		
entry	PNIGMOS	0	
orth	PNIGMOS		
entry	PNIGOS	0	
orth	PNIGOS		
entry	PNIX	0	
orth	PNIX		
entry	POA	0	
orth	POA		
clique	Milium		
entry	POCAN	0	
orth	POCAN		
entry	POCATSJETTI	0	
orth	POCATSJETTI		
entry	POCO SEMPIE	0	
orth	POCO SEMPIE		
clique	Agnus Scythicus		
entry	PODAGRA	0	
orth	PODAGRA		
clique	Arthritis		
entry	PODAGRARIA	0	
orth	PODAGRARIA		
clique	Angelica		
entry	PODEON	0	
orth	PODEON		
entry	POERINSII	0	
orth	POERINSII		
entry	POINCIANA	1	
orth	POINCIANA		
pb	677	0341	
entry	POLEMONIUM	0	
orth	POLEMONIUM		
entry	POLENTA	0	
orth	POLENTA		
clique	Alphita		
entry	POLETIS SAL	0	
orth	POLETIS SAL		
entry	POLIATER	0	
orth	POLIATER		
entry	POLIUM	1	
orth	POLIUM		
pb	679	0342	
entry	POLLEX	0	
orth	POLLEX		
entry	POLLINCTURA	0	
orth	POLLINCTURA		
entry	POLLUTIO	0	
orth	POLLUTIO		
clique	Gonorrhoea		
entry	POLPHOS	0	
orth	POLPHOS		
entry	POLYÆMIA	0	
orth	POLYÆMIA		
entry	POLYANTHOS	0	
orth	POLYANTHOS		
entry	POLYANTHUS	0	
orth	POLYANTHUS		
entry	POLYARCHION	0	
orth	POLYARCHION		
entry	POLYCHRESTOS	0	
orth	POLYCHRESTOS		
entry	POLYCLONOS	0	
orth	POLYCLONOS		
entry	POLYCNEMON	0	
orth	POLYCNEMON		
clique	Calamintha palustris		
entry	POLYETES ANTIDOTUS	0	
orth	POLYETES ANTIDOTUS		
entry	POLYGALA	1	
orth	POLYGALA		
pb	681	0343	
entry	POLYGALON	0	
orth	POLYGALON		
entry	POLYGANON	0	
orth	POLYGANON		
entry	POLYGLOTTA	0	
orth	POLYGLOTTA		
entry	POLYGONATUM	1	
orth	POLYGONATUM		
pb	683	0344	
entry	POLYGONUM	0	
orth	POLYGONUM		
clique	Coccus 8e Knawel		
clique	Knawel		
entry	POLYIDÆ SPHRAGIS	0	
orth	POLYIDÆ SPHRAGIS		
entry	POLYMORPHOS	0	
orth	POLYMORPHOS		
clique	Caput		
entry	POLYNEURON	0	
orth	POLYNEURON		
entry	POLYOSTEON	0	
orth	POLYOSTEON		
entry	POLYPHARMACOS	0	
orth	POLYPHARMACOS		
entry	POLYPHOROS	0	
orth	POLYPHOROS		
entry	POLYPODES	0	
orth	POLYPODES		
entry	POLYPODIUM	1	
orth	POLYPODIUM		
pb	685	0345	
entry	POLYPOSIA	0	
orth	POLYPOSIA		
entry	POLYPUS	0	
orth	POLYPUS		
entry	POLYPUS	6	
orth	POLYPUS		
pb	687	0346	
pb	689	0347	
pb	691	0348	
pb	693	0349	
pb	695	0350	
pb	697	0351	
entry	POLYSARCIA	1	
orth	POLYSARCIA		
pb	699	0352	
entry	POLYSOMATICA	0	
orth	POLYSOMATICA		
clique	Polysarcia		
entry	POLYSPASTON	0	
orth	POLYSPASTON		
clique	Fracturai		
entry	POLYTRICHUM	0	
orth	POLYTRICHUM		
clique	Trieloomanes		
entry	POLYTRICHUM AUREUM	0	
orth	POLYTRICHUM AUREUM		
clique	Adianthum		
entry	POLYTROPHIA	0	
orth	POLYTROPHIA		
entry	POMACEUM	1	
orth	POMACEUM		
pb	701	0353	
entry	POMAMBRA	0	
orth	POMAMBRA		
clique	HartmanesenCroll		
entry	POMATUM UNGUENTUM	1	
orth	POMATUM UNGUENTUM		
pb	703	0354	
entry	POMPHOLYGODES	0	
orth	POMPHOLYGODES		
entry	POMPHOLYGERON	0	
orth	POMPHOLYGERON		
entry	POMPHOLYX	0	
orth	POMPHOLYX		
clique	Bulla		
entry	POMPHOS	0	
orth	POMPHOS		
entry	POMUM	0	
orth	POMUM		
clique	Malus		
clique	Amoris poma		
clique	Citreum		
clique	Agriomela		
entry	PONDO, PONDUS	0	
orth	PONDO		
orth	PONDUS		
clique	Drachma		
clique	Planches III. IV. et V. de ce Volume		
entry	PONGA	0	
orth	PONGA		
entry	PONGAM	0	
orth	PONGAM		
clique	Minari		
entry	PONGELION	0	
orth	PONGELION		
entry	PONNA	0	
orth	PONNA		
entry	PONNAGAM	0	
orth	PONNAGAM		
entry	PONNAM	0	
orth	PONNAM		
entry	PONS VAROLII	0	
orth	PONS VAROLII		
entry	PONTAGIA	0	
orth	PONTAGIA		
entry	PONTICUS	0	
orth	PONTICUS		
entry	PONTICA VINA	0	
orth	PONTICA VINA		
entry	PONTICUM MEL	0	
orth	PONTICUM MEL		
clique	Ægolethron		
entry	POPONAX	0	
orth	POPONAX		
entry	POPLES	0	
orth	POPLES		
pb	705	0355	
entry	POPLITEUS MUSCULUS	0	
orth	POPLITEUS MUSCULUS		
entry	POPULAGO	0	
orth	POPULAGO		
clique	Calendula palustris		
entry	POPULARIS	0	
orth	POPULARIS		
entry	POPULUS	1	
orth	POPULUS		
pb	707	0356	
entry	PORCELLIONES	0	
orth	PORCELLIONES		
entry	PORCELLUS INDICUS	0	
orth	PORCELLUS INDICUS		
entry	PORCUS MARINUS	1	
orth	PORCUS MARINUS		
pb	709	0357	
entry	PORFILIGON	0	
orth	PORFILIGON		
entry	PORFIRETICUM	0	
orth	PORFIRETICUM		
entry	POROCELE	0	
orth	POROCELE		
entry	POROMPHALON	1	
orth	POROMPHALON		
pb	711	0358	
entry	POROPOEIA	0	
orth	POROPOEIA		
entry	POROS	0	
orth	POROS		
clique	Porus		
entry	POROSIS	0	
orth	POROSIS		
entry	POROTICA	0	
orth	POROTICA		
entry	PORPHYRA	0	
orth	PORPHYRA		
clique	Purpura		
entry	PORPHYRIO	0	
orth	PORPHYRIO		
entry	PORPHYRITES	0	
orth	PORPHYRITES		
entry	PORRACEUS	0	
orth	PORRACEUS		
entry	PORRIFICI	0	
orth	PORRIFICI		
entry	PORRIGO	0	
orth	PORRIGO		
clique	Lepra		
entry	PORRUM	0	
orth	PORRUM		
entry	PORTA	0	
orth	PORTA		
clique	Hepar		
entry	PORTATILE	0	
orth	PORTATILE		
entry	PORTORARIUM	0	
orth	PORTORARIUM		
entry	PORTULACA	1	
orth	PORTULACA		
pb	713	0359	
entry	PORUS	0	
orth	PORUS		
clique	Poros		
entry	PORI BILIARII	0	
orth	PORI BILIARII		
entry	PORUS	0	
orth	PORUS		
entry	POSCA	0	
orth	POSCA		
entry	POSSETUM	0	
orth	POSSETUM		
entry	POSTBRACHIALE	0	
orth	POSTBRACHIALE		
clique	Metacarpus		
entry	POSTHE	0	
orth	POSTHE		
entry	POSTHIA	0	
orth	POSTHIA		
entry	POSTPOSITIO	0	
orth	POSTPOSITIO		
entry	POTABILE AURUM	0	
orth	POTABILE AURUM		
clique	Aururm		
entry	POTABILIS MARS	1	
orth	POTABILIS MARS		
pb	715	0360	
entry	POTAMOGEITON	0	
orth	POTAMOGEITON		
entry	POTASH	0	
orth	POTASH		
clique	Alcali		
entry	POTENTIELA	0	
orth	POTENTIELA		
entry	POTERIUM	0	
orth	POTERIUM		
clique	Tragacantha		
entry	POTIO	0	
orth	POTIO		
entry	POUST	0	
orth	POUST		
entry	POUTALETSJA	0	
orth	POUTALETSJA		
entry	PRÆBIUM	1	
orth	PRÆBIUM		
pb	717	0361	
entry	PRÆCIPITANTIA	0	
orth	PRÆCIPITANTIA		
entry	PRÆCIPITATIO	0	
orth	PRÆCIPITATIO		
entry	PRÆCORDIA	4	
orth	PRÆCORDIA		
pb	719	0362	
pb	721	0363	
pb	723	0364	
pb	725	0365	
entry	PRÆCURSORES	0	
orth	PRÆCURSORES		
entry	PRÆDICTIO	0	
orth	PRÆDICTIO		
entry	PRÆFOCATIO	0	
orth	PRÆFOCATIO		
entry	PRÆFURNIUM	0	
orth	PRÆFURNIUM		
entry	PRÆGNATIO	0	
orth	PRÆGNATIO		
entry	PRÆLINGUA	0	
orth	PRÆLINGUA		
entry	PRÆLUM	0	
orth	PRÆLUM		
entry	PRÆNOTIO	0	
orth	PRÆNOTIO		
entry	PRÆOPINATIO	0	
orth	PRÆOPINATIO		
entry	PRÆPARANTIA MEDICAMENTA	0	
orth	PRÆPARANTIA MEDICAMENTA		
entry	PRÆPUTIUM	0	
orth	PRÆPUTIUM		
clique	Generatio		
entry	PRÆSAGIA	8	
orth	PRÆSAGIA		
pb	727	0366	
pb	729	0367	
pb	731	0368	
pb	733	0369	
pb	735	0370	
pb	737	0371	
pb	739	0372	
pb	741	0373	
entry	PRÆSCRIPTIO	0	
orth	PRÆSCRIPTIO		
entry	PRÆSEPIA, PRÆSEPIOLA	0	
orth	PRÆSEPIA		
orth	PRÆSEPIOLA		
entry	PRÆSERVATIVA REMEDIA	0	
orth	PRÆSERVATIVA REMEDIA		
entry	PRÆSERVATORIA INDICATIO	0	
orth	PRÆSERVATORIA INDICATIO		
entry	PRAMNIOS	0	
orth	PRAMNIOS		
entry	PRASINUM VIRIDE	0	
orth	PRASINUM VIRIDE		
entry	PRASINUS, PRASOIDES	0	
orth	PRASINUS		
orth	PRASOIDES		
entry	PRASIS	0	
orth	PRASIS		
entry	PRASITES	0	
orth	PRASITES		
entry	PRASIUS	0	
orth	PRASIUS		
entry	PRASION	0	
orth	PRASION		
entry	PRASUM	0	
orth	PRASUM		
entry	PREHENSIO	0	
orth	PREHENSIO		
entry	PREMNON	0	
orth	PREMNON		
entry	PRESBYTÆ	0	
orth	PRESBYTÆ		
entry	PRESIS, PRESMA	0	
orth	PRESIS		
orth	PRESMA		
entry	PRESMUCHUM, PRESMUKIS	0	
orth	PRESMUCHUM		
orth	PRESMUKIS		
entry	PRESSORIUM	0	
orth	PRESSORIUM		
entry	PRESSURA	0	
orth	PRESSURA		
entry	PRESTER	0	
orth	PRESTER		
entry	PRIAPEIA	0	
orth	PRIAPEIA		
entry	PRIAPISCOS	0	
orth	PRIAPISCOS		
entry	PRIAPISMUS	0	
orth	PRIAPISMUS		
entry	PRIAPOLITHUS	1	
orth	PRIAPOLITHUS		
pb	743	0374	
entry	PRIAPUS	0	
orth	PRIAPUS		
entry	PRIMÆ VIÆ	0	
orth	PRIMÆ VIÆ		
entry	PRIMITIÆ	0	
orth	PRIMITIÆ		
entry	PRIMORES	0	
orth	PRIMORES		
entry	PRIMULA-VERIS	1	
orth	PRIMULA-VERIS		
pb	745	0375	
entry	PRINCEPS	0	
orth	PRINCEPS		
entry	PRINCIPES DIES	0	
orth	PRINCIPES DIES		
entry	PRINCIPIA	6	
orth	PRINCIPIA		
pb	747	0376	
pb	749	0377	
pb	751	0378	
pb	753	0379	
pb	755	0380	
pb	757	0381	
entry	PRION	0	
orth	PRION		
entry	PRISIS	0	
orth	PRISIS		
entry	PRISMATA	0	
orth	PRISMATA		
entry	PROBARBION	0	
orth	PROBARBION		
entry	PROBLEMA	0	
orth	PROBLEMA		
entry	PROBOLE	0	
orth	PROBOLE		
entry	PROBOSCIS	0	
orth	PROBOSCIS		
entry	PROCARDION	0	
orth	PROCARDION		
entry	PROCATHARTICA CAUSA	0	
orth	PROCATHARTICA CAUSA		
clique	Causa		
entry	PROCESSUS	0	
orth	PROCESSUS		
entry	PROCHEILA	0	
orth	PROCHEILA		
entry	PROCHYMA	0	
orth	PROCHYMA		
entry	PROCIDENTIA	0	
orth	PROCIDENTIA		
entry	PROCLESIS	1	
orth	PROCLESIS		
pb	759	0382	
entry	PROCONDYLOS	0	
orth	PROCONDYLOS		
entry	PROCONIA ALPHITA	0	
orth	PROCONIA ALPHITA		
entry	PROCTOS	0	
orth	PROCTOS		
entry	PRODROMUS	0	
orth	PRODROMUS		
clique	Prochyma		
clique	Etesia		
entry	PROEGUMENE	0	
orth	PROEGUMENE		
clique	Causa		
entry	PROFLUVIUM	0	
orth	PROFLUVIUM		
entry	PROFUNDUS MUSCULUS	0	
orth	PROFUNDUS MUSCULUS		
clique	Perforans manus		
entry	PROGERMINUS ABCESSUS	0	
orth	PROGERMINUS ABCESSUS		
entry	PROGLOSSIS	0	
orth	PROGLOSSIS		
entry	PROGNOSIS	0	
orth	PROGNOSIS		
clique	Praesagia		
entry	PROHIBENS	0	
orth	PROHIBENS		
clique	Contra - indicans		
entry	PROJECTIO	0	
orth	PROJECTIO		
entry	PROJECTURA	0	
orth	PROJECTURA		
entry	PROLABIA	0	
orth	PROLABIA		
entry	PROLAPSUS ANI	0	
orth	PROLAPSUS ANI		
clique	Anus		
entry	PROLAPSUS UTERI	0	
orth	PROLAPSUS UTERI		
clique	Uterus		
entry	PROLECTICOS	0	
orth	PROLECTICOS		
entry	PROMALACTERION	0	
orth	PROMALACTERION		
entry	PROMANUS	0	
orth	PROMANUS		
entry	PROMETOPIS	0	
orth	PROMETOPIS		
entry	PRONATORES	1	
orth	PRONATORES		
pb	761	0383	
entry	PRONERVATIO	0	
orth	PRONERVATIO		
entry	PRONOMÆA	0	
orth	PRONOMÆA		
clique	Proboscis		
entry	PROPHASIS	0	
orth	PROPHASIS		
entry	PROPHYLACE, PROPHYLAXIS, PROPHYLACTICE	0	
orth	PROPHYLACE		
orth	PROPHYLAXIS		
orth	PROPHYLACTICE		
clique	Indicatio		
entry	PROPOLIS	0	
orth	PROPOLIS		
entry	PROPOMA	0	
orth	PROPOMA		
entry	PROPTOSIS	0	
orth	PROPTOSIS		
clique	Prolapsus s		
entry	PRORA	0	
orth	PRORA		
entry	PRORRHESIS	0	
orth	PRORRHESIS		
entry	PROSARMA	0	
orth	PROSARMA		
entry	PROSARTHROSIS	0	
orth	PROSARTHROSIS		
clique	Adarticulatio		
entry	PROSCARABÆUS	0	
orth	PROSCARABÆUS		
entry	PROSCEPHALÆON	0	
orth	PROSCEPHALÆON		
entry	PROSCLYSMA	0	
orth	PROSCLYSMA		
entry	PROSCOLLEMA	0	
orth	PROSCOLLEMA		
entry	PROSECHES	0	
orth	PROSECHES		
clique	Syneches		
entry	PROSERPINACA	0	
orth	PROSERPINACA		
entry	PROSERPINALIS HERBA	0	
orth	PROSERPINALIS HERBA		
entry	PROSŒMA	0	
orth	PROSŒMA		
entry	PROSOPITES	0	
orth	PROSOPITES		
entry	PROSPHEROMENA	0	
orth	PROSPHEROMENA		
entry	PROSTASIS	0	
orth	PROSTASIS		
entry	PROSTATÆ	0	
orth	PROSTATÆ		
clique	Generatio		
entry	PROSTETHIS	0	
orth	PROSTETHIS		
entry	PROSTHESIS	0	
orth	PROSTHESIS		
entry	PROSTHETA	0	
orth	PROSTHETA		
entry	PROSTHEMENE	0	
orth	PROSTHEMENE		
entry	PROSTHION	0	
orth	PROSTHION		
