Vedette	Renvoi	Lien mort ?
Prépuce	Circoncision	
Présage	Prognostic	
Presbyte	Presbyopie	
Principe	Élément	
Pronostic	Prognostic	
Psycromètre	Thermomètre	
Ptérygoïdien	Ptérygoïde	
Ptérygopharyngien	Ptérygoïden	???
Ptérygopharyngien	Pharynx	
Ptisane	Tisane	
Pulvérisation	Contusion	
Pulvérisation	Trituration	
Pulvérisation	Porphyrisation	???
Pulvérisation	Frottement	
Pulvérisation	Lavage	???
Pulvérisation	Érosion	
Pulvérisation	Précipitation	
Pupille	Prunelle	
Putride	Adynamique	
Pyrétique	Fébrifuge	
Pyrolignite	Pyromuqueux	
Quarré	Carré	
Quindécagone	Pentédécagone	???
Rachitisme	Rachitis	
Rage	Hydrophobie	
Ranule	Grenouillette	
Rapport	Raison	
Récrémenteux	Récrément	
Régénération	Salingénésie	???
Règles	Menstrues	
Retardation	Retardatrice	
Réticulaire	Réseau	
Révivification	Réduction	
Rhombe	Losange	???
Rhume	Catarrhe	
Rose	Erysipèle	???
Sacré	Erysipèle	???
Sacré	Épilepsie	
Sacrocogcygien	Sacrum	
Sacrocogcygien	Coccyx	
Salivant	Ptyalagogue	
Salivation	Ptyalisme	
Saltimbanques	Charlatan	
Sanguification	Hématose	
Saponacé	Savonneux	???
Sardonien	Ris	
Saxifrage	Lithontriptique	
Scrophules	Ecrouelles	???
Séméiologie	Séméiotique	
Semi-lunaire	Sigmoïde	
Séquestre	Nécrose	
Séreux	Sérosité	
Sialisme	Ptyalisme	
Sinciput	Bregma	
Siphilis	Vérole	
Solitaire	Ténia	
Soporatif	Somnifère	
Soporatif	Hypnotique	
Sora	Essère	
Spathacé	Spathe	
Speculum	Dilatoire	???
Sperma-ceti	Adipocire	
Spermatique	Sperme	
Sphénoïdal	Sphénoïde	
Sphénopalatin	Sphénoïde	
Sphénopalatin	Palais	
Sphénopharyngien	Sphénoïde	
Sphénopharyngien	Pharynx	
Sphénoptérygopalatin	Sphénoïde	
Sphénoptérygopalatin	Arophyse ptérygoïde	???
Sphénoptérygopalatin	Palais	
Sphénosalpingostaphylin	Sphénoïde	
Sphénosalpingostaphylin	Trompe d'Eustache	???
Sphénosalpingostaphylin	Luette	
Squinancie	Angine	
Squinancie	Esquinancie	
Stalagmite	Stalactite	
Stegnotique	Astringent	
Stérilité	Stérile	
Sterno-hyoïdien	Sternum	
Sterno-hyoïdien	Hyoïde	
Sterno-thyroïdien	Sternum	
Sterno-thyroïdien	thyroïdien	???
Strontianite	Strontiane	
Stupéfactif	Narcotique	
Stylomastoïdien	Styloïde	
Stylomastoïdien	Mastoïde	
Stylopharyngien	Styloïde	
Stylopharyngien	Pharynx	
Styptique	Astringent	
Styrax	Storax	
Suffocation	Hystérie	
Supinateur	Supination	
Surpeau	Épiderme	
Surpeau	Cuticule	
Suspenseur	Cremastère	
Symptomatique	Symptôme	
Synancie	Esquinancie	
Synancie	Angine	
Syphon	Siphon	
Taenia	Ténia	
Tambour	Tympan	
Tardigrades	Paresseux	
Tarsien	Tarse	
Téléphien	Chironien	
Tétrapodologie	Tétrapode	
Thyro-aryténoïdien	Tyroïde	???
Thyro-aryténoïdien	Aryténoïde	
Thyropalatin	Thyroïde	
Thyropalatin	Palais	
Thyropharyngien	Thyroïde	
Thyropharyngien	Pharynx	
Thyropharyngostaphylin	Thyroïde	
Thyropharyngostaphylin	Pharynx	
Thyropharyngostaphylin	Staphylin	
Thyrostaphylin	Thyroïde	
Thyrostaphylin	Septum staphylin	???
Tire-pus	Pyulque	
Tissu	Texture	
Trachélo-mastoïdien	Mastoïde	
Tragien	Tragus	
Trapéziforme	Trapézoïde	
Trapézoïde	Trapèze	
Trichiasis	Distichiasis	
Trichiasis	Phalangosis	???
Triglochines	Tricuspide	
Trinc	Trigone	
Triventre	Trigastrique	
Trochantérien	Trochanter	
Trochantin	Trochanter	
Trochantinien	Trochantin	
Trochinien	Trochin	
Tropiques	Cancer	
Tropiques	Capricorne	
Trousse-galant	Choléra-Morbus	???
Unguis	Onglet	
Unguis	Ptérygion	
Urétéritis	Blennorrhagie	
Urne	Pyxidule	
Utérin	Hystérie	
Utérus	Matrice	
Varicocèle	Cirsocèle	
Variole	Vérole	
Vent	Flatuosité	
Ventrosité	Physconie	
Vermiculant	Pouls	
Vitriol	Sulfates	???
Volatil	Gaz	
Volvulus	Iliaque	
Vomitif	Émétique	
Vrille	Cirrhé	
Vulnéraire	Traumatique	
Zygomatique	Zygoma	
