entrée	James EN	James FR
Aegineta		1
Aegineta (Paulus)	1	
Aegle	1	1
Aeglia	1	1
Aegoceras	1	1
Aegolethron	1	1
Aegonychon	1	1
Aegoprosopon	1	
Aegoprosopon, Aegidion		1
Aegyptia aluta		1
Aegyptia antidotus	1	1
Aegyptia ulcera	1	1
Aegyptiacum unguentum	1	1
Aegyption	1	1
Aegyptium andromachi emplastrum	1	1
Aegyptium croceum unguentum	1	1
Aegyptium linum	1	1
Aegyptium medicamentum ad aures		1
Aegyptium pharmacum ad aures	1	
Aegyptius pessus	1	1
Aeichryson	1	1
Aeigluces	1	1
Aeipatheia	1	1
Aeithales	1	1
Aeizoon	1	1
Aelianus meccius	1	1
Aelius promotus	1	1
Aemilius Macer		1
Aemilius macer	1	
Aeolipylae	1	1
Aeon	1	1
Aeonesis	1	1
Aeonion	1	1
Aeora	1	1
Aepos	1	1
Aequalis	1	1
Aequilibrium	1	1
Aequinoctium	1	1
Aequipollens	1	1
Aer	22	31
Aera	1	1
Aerdadi	1	1
Aereolum	1	1
Aerificatio	1	1
Aeritis		1
Aerologice	1	1
Aeromeli	1	1
Aerophobi	1	
Aerophobos		1
Aerosis	1	1
Aeruginosus	1	1
Aerugo	1	1
Aes	4	6
Aesalo	1	1
Aeschos	1	1
Aeschrion	1	1
Aeschynomenos		1
Aeschynomenous	1	
Aesculapius	3	3
Aestas	1	1
Aestates	1	1
Aesthesis	1	1
Aesthphara	1	
Aestphara		1
Aestuarium	1	1
Aestuatio	1	1
Aestus	1	1
Aetas	1	1
Aethale	1	1
Aethales	1	
Aether	1	1
Aetheria herba	1	1
Aethes	1	1
Aethiopicum cuminum	1	
Aethiopicum cummum		1
Aethiopicus lapis	1	1
Aethiopis		1
Aethiops albus		1
Aethiops antimonialis	1	1
Aethiops mineralis	1	1
Aethna	1	1
Aetholices	1	1
Aethya	1	1
Aethyia	1	1
Aetia	1	1
Aetiologia	1	1
Aetites	1	1
Aetius	2	4
Aetoi phlebes	1	1
Aetolion	1	1
Aetoma	1	1
Aetonychum	1	1
Affax, Affarx, Affaris	1	1
Affectio, Affectus	1	1
Affenicum	1	1
Affeos	1	1
Affidra	1	1
Affion	1	1
Afflatus	1	
Afflatus, Adflatus		1
Afflictio	1	1
Affodius	1	1
Afformas	1	1
Affrengi	1	1
Affricanus flos		1
Affrodina	1	1
Affronitum	1	1
Affroton	1	1
Affusio	1	1
Afra	1	1
Afragar	1	1
Africanus flos	1	1
Afrob	1	1
Aga cretensium	1	1
Agalactia	1	1
Agallochum	2	2
Agape	1	1
Agar	1	
Agaricoides	1	1
Agaricus	3	5
Agasyllis	1	1
Agatharcides	1	1
Agathinus	1	1
Agathon	1	1
Agathonis antidotus hepatica	1	1
Agaty H. M	1	
Agaty H. M.	1	
Agaty, H		1
Age vita	1	1
Agelaeos	1	1
Agem	1	1
Ager chymicus	1	1
Agerasia	1	1
Ageratum	1	1
Ageratus lapis	1	1
Ages	1	1
Ageustia	1	1
Agglutinatio	1	1
Agglutinatio pilorum	1	1
Aggregatum	1	1
Agiahalid	1	1
Agitatio	1	1
Aglia	1	1
Aglithes	1	1
Agme	1	1
Agnacat	1	1
Agnanthus	1	1
Agnata	1	1
Agnina lactuca	1	1
Agnina membrana, Pellicula	1	1
Agnoia	1	1
Agnus	1	1
Agnus castus	1	1
Agnus scythicus	1	
Agnus sythicus		1
Agoge	1	1
Agomphiasis, Gomphiasis	1	1
Agone	1	1
Agonia	1	1
Agonisticon	1	1
Agonos	1	1
Agoraeus	1	1
Agostus	1	1
Agresta	1	1
Agresten	1	1
Agrestis	1	1
Agria	1	1
Agriampelos	1	1
Agricultura	1	1
Agrielaea	1	1
Agrifolium	1	1
Agrimonia	1	1
Agrimonoides	1	1
Agriocardamum	1	1
Agriocastanum	1	1
Agriocinara	1	1
Agriococcimelea		1
Agriococimelea	1	
Agriomela	1	1
Agrion	1	1
Agriophyllon	1	1
Agrioriganum	1	1
Agrioselinum	1	1
Agriostari	1	1
Agripalma	1	1
Agrippae	2	3
Agronomos		1
Agrophon		1
Agrostis		1
Agrumina		1
Agrypnia		1
Aguape		1
Aguara ponda		1
Aguara quiya		1
Agul		1
Aguti treva, Agouti treva		1
Agutiguepa		1
Agyion		1
Agynos		1
Agyrtae		1
Ahate de pavncho recchi		1
Ahenum		1
Ahius		1
Ahmella		1
Ahovai theveti clusii		1
Ahusal		1
Aidris		1
Aipathia		1
Aira		1
Airi		1
Aistherium		1
Aisthesis		1
Aitmat		1
Aizoon		1
Ajarazat		1
Ajubatipita brasiliensium		1
Ajuga		1
Akibot		1
Akon		1
Al		1
Ala		1
Alabandicus, Alabandinus lapis		1
Alabari		1
Alabastra		1
Alabastron		1
Alabastrum		1
Alacab		1
Alachaschee		1
Alacnoth		1
Alae		1
Alae auris, Pinnae auris		1
Alae nasi		1
Alafi		1
Alafor & alafort		1
Alafreg		1
Alahabar		1
Alahatib		1
Alaia phthisis		1
Alais		1
Alamandina		1
Alambic		1
Alana terra		1
Alanabolus		1
Alandahal		1
Alanfuta		1
Alapae		1
Alaqueca		1
Alaris		1
Alaris, Aliformis	1	
