Alaris, Aliformis	0
Alartar	0
Alasalet	0
Alastrob	0
Alatan	0
Alaternus	0
Alaternoides	0
Alati	0
Alati processus, Alares	0
Alauda	1
Alaurat	0
Alba animalia	0
Alba terra	0
Alba vitiligo	0
Albadara	0
Albagiazi	0
Albani	0
Albanum	0
Albara	0
Albaras	0
Albatio	0
Albedo	0
Alberas	0
Alberick	0
Albeston	0
Albetad	0
Albi	0
Albificatio	0
Albinum	0
Albir	0
Albor	0
Albora	1
Alborca	0
Albot	0
Albotat	0
Albotim	0
Albotis	0
Albucasis	0
Albuginea tunica oculorum	0
Albugineus humor oculi	0
Albugo oculorum	1
Albuhar	0
Albula	0
Albulae aquae, Albae	0
Album graecum	0
Album hispanicum	0
Album olus	0
Album nigrum	0
Album oculi	0
Album jus	0
Album severi collyrium	0
Album unguentum	0
Albumor	0
Albumen	4
Alburnum	0
Alburnus ausonii	0
Albus	0
Albus fluor, Fluxus	0
Alcadp	0
Alcafiel	0
Alcahest	5
Alcali, Alkali	27
Alcalisatio	0
Alcancali	0
Alcanna	0
Alcaol	0
Alcar	0
Alcara	0
Alce	0
Alcea	1
Alcebris vivum	0
Alcedo	0
Alchachil	0
Alcharith, Alecharith	0
Alchemia, Alchymia	0
Alchimelech	0
Alchien	0
Alchimilla	1
Alchitram, Alchieram	0
Alchitran	0
Alchitura	0
Alchollea	0
Alchimia	0
Alcibiadium	0
Alcimad	0
Alciot	0
Alcob	0
Alcocalum	0
Alcoel	0
Alcofol	0
Alcohol	9
Alcol	0
Alcola	0
Alcolita	0
Alcolismus	0
Alcone	0
Acor	0
Alcore	0
Alcte	0
Alcubd, Alumbair	0
Alcubrith, Alcur, Aluzar	0
Alcyonium	1
Aldabaram	0
Alec, Alech	0
Alecharith	0
Alectoria, Lapis Alectorius	0
Alectorolophus	1
Alefantes	0
Aleimma	0
Aleion	0
Aleipha	0
Alelaion	0
Alema	0
Alembaci	0
Alembic	0
Alembicus	0
Alembroth	0
Alemzadat	0
Alenon	0
Aleophanginae pilulae	0
Aleore	0
Aleos	0
Ales	0
Ales crudum	0
Alesch	0
Aleton	0
Aleuron	0
Alexander	0
Alexandria	0
Alexandri antidotus aurea	1
Alexandri regis collyrium siccum	0
Alexandrinum emplastrum viride	0
Alexanthi, Altingat	0
Alexasthae	0
Alexicacon	0
Alexion	0
Alexipharmaca	2
Alexippus	0
Alexipyreticum, Alexipyretos, Alexipyretum	0
Alexir	0
Alexiteria	0
Alezaram	0
Alfacta	0
Alfadidam	0
Alfasit, Aluasit	0
Alfatida	0
Alfatide	0
Alfesera, Alphesera	0
Alfoi	0
Alfusa	0
Alga	1
Algali	0
Algamet	0
Algarab, Garab	0
Algarot	0
Algatia	0
Algedo	2
Algema	0
Algemet	0
Algeriae, Algerie	0
Algeroth	0
Algoides	0
Algos	0
Alhagi	0
Alhandal	0
Alhanna	0
Alhasef, Asef	0
Alica	2
Alices	0
Alicornu	0
Alienatio mentis	0
Alienum	0
Aliformes processus	0
Aligulus	0
Alilat	0
Alima	0
Alimenta	20
Alindesis	0
Alinthisar	0
Aliocab	0
Alipaenos	0
Alipasma	0
Alipili	0
Aliptae	0
Alisma	1
Alisteles	0
Alitura	0
Alkafial	0
Alkahest	0
Alkale	0
Alkali	0
Alkalia	0
Alkalid, Alkes, Alcob	0
Alkant	0
Alkantum	0
Alkanri, Alcanri	0
Alkara, Alcara	0
Alkaranum	0
Alkasa	0
Alkaut	0
Alkautum	0
Alkekengi	1
Alkermes	0
Alkian	0
Alkibric, Alchibric, Alchibert, Algibic, Alkibic, Alchabric	0
Alkien	0
Alkimia	0
Alkin	0
Alkir	0
Alkitram	0
Alkoel	0
Alkol	0
Alkosor	0
Alki Plumbi	0
Alla, Ale	1
Allabor, Alahabar, Alabari, Alchonor, Allarinoch, Alhohonoch, Alrachas, Alastrob, Alomba, Alooc, Alcamor	0
Allabrot	0
Allantois	3
Alleluja	0
Alliar aeris	0
Alliaria	0
Alligatura	0
Allioticum	0
Allium	2
Allium gallicum	0
Allobrogicum vinum	0
Allochoos	0
Allochroeo	0
Allocoton	0
Allodemia	0
Alloeosis	0
Allognoon	0
Allophasis	0
Alma, Halma	0
Almabri	0
Almager	0
Almagra	0
Almakanda, Almakist, Almariab, Almarchar, Almarcab	0
Almarcarida	0
Almarcat	0
Almargen	0
Almarkasita	0
Almartack	0
Almatatica	0
Almecaside, Almechaside	0
Almeliletu	0
Almene	0
Almetat	0
Almisa	0
Almisadir, Almisadar, Almizadar, Amizadir, Asanon, Amisadu	0
Almisarub	0
Almizadir	0
Almyrinthra	0
Alnec	0
Alnus	3
Aloedaria	0
Alofel	0
Alogos	0
Alogotrophia	0
Alohar, Alohoc, Alosohoc, Alosot	0
Aloides	0
Alopeces	0
Alopecia	1
Alopecuros	1
Alopex	0
Alosa five Clupea	0
Alosanthi	0
Alpam	0
Alphabetum chymicum	0
Alphenic	0
Alphesera, Alfesera	0
Alphita	1
Alphitedon	0
Alphus	0
Alramudi cineritious	0
Alratica	0
Alsamach, Alsemach	0
Alsech	0
Alselat	0
Alsinastrum	0
Alsine	2
Alsineformis	0
Alsiracostum	0
Altafor	0
Altambus	0
Altanus	0
Altaris, Altarit, Alozet	0
Alterantia	3
Altercum, Altercangenon	0
Altey plumbi, Alky plumbi	0
Althaea	4
Althanaca, Althanacha	0
Althebegium	0
Althexis	0
Altholizoi	0
Altiht	0
Altimar	0
Altimio	0
Altincar	0
Altingat	0
Altinuraum	0
Altolizoi	0
Altus	0
Alu	0
Aluach, Aluech	0
Aluco	0
Aludel	0
Aludit	0
Alvearium	0
Aluech	0
Alveoli	0
Alveus	0
Alufir	0
Alviduca	0
Aluis	0
Alum, Alus	0
Alumboti	0
Alumen	8
Alunibur	0
Alunsel	0
Alusar	0
Alusia	0
Aluta	0
Alvus	3
Alyce	0
Alypum	1
Alysmos	0
Alyssoides	0
Alyssum	2
Alzegi	0
Alzemafor	0
Alzilat	0
Alzimar	0
Alzofar	0
Ama, Ame, Ames	0
Amalgama	0
Amalgamatio	0
Amamelis	1
Amandinus lapis	0
Amanita	5
Amara	0
Amaracus	4
Amara-dulcis	0
Amaranthus	0
Amarantoides	0
Amarella	0
Amatoria	0
Amatorii	0
Amatzquitl	1
Amaurosis	9
Amazonum pastillus	0
Amba	0
Ambaiba	0
Ambaitinga	0
Ambalam	1
Ambapaia	0
Ambare	0
Ambarvalis	0
Ambe	0
Ambela	0
Amberboi	1
Ambia Monard	0
Ambidexter	0
Amblosis	0
Amblyogmos	0
Amblyopia	0
Ambon	0
Ambra	11
Ambrosia	1
Ambulatio	0
Ambulo	0
Ambulon	0
Ambusta	2
Amedanus	0
Amelanchier	0
Amellus	0
Amelpodi	1
Amene	0
Amenenos	0
Amentia	0
Amentum	0
Ameri	0
Amethodicum	0
Amethysta pharmaca	0
Amethystus	0
Ametria	0
Amia	0
Amiantus	2
Amiculum	0
Amidum	0
Aminaeum vinum	1
Aminaeum acetum	0
Aminia	0
Amma	0
Ammi	0
Ammion	0
Ammites, Ammonites	0
Ammochosia	0
Ammochrysos	0
Ammochrysus	0
Ammochrysos	0
Ammodites	1
Ammoniacum	10
Ammonis cornu	0
Ammonitrum	0
Ammonius	0
Ammonii collyrium	0
Amna Alcalizata	0
Amnios	4
Amnis	0
Amoie	0
Amolynton	0
Amomi	0
Amomis	0
Amomum	4
Amongabriel	0
Amongeaba	0
Amor	0
Amoris pomum	0
Amorge	0
Ampana	0
Ampar	0
Ampelion	0
Ampelis	0
Ampelites terra	1
Ampeloprason	0
Ampelos	0
Ampharisteros	0
Amphemerinos	0
Amphiblestroides	0
Amphibranchia	0
Amphicaustis	0
Amphideon	0
Amphidexios	0
Amphimetrion	0
Amphiplex	0
Amphipneuma	0
Amphipolos	0
Amphisbaena	0
Amphismila	0
Amphisphalsis	0
Amphitane	0
Amphodonta	0
Amphora	0
Amplexatio, Bafiatio	0
Ampotis	0
Ampulla	0
Ampullascens	0
Amputatio	15
Amuctica	0
Amvetti, Vetti-Tali	0
Amuleta	1
Amurca	1
Amyche	0
Amydros	0
Amygdalae	0
Amygdalia	0
Amygdalatum	0
Amygdaloides	0
Amygdalopersicum	0
Amygdalus	1
Amyleon, Amylion	0
Amylum	1
Amyos	0
Amythaonis emplastrum	0
An-pater	0
An-fir	0
An-firarto	0
Ana	0
Anabasis	0
Anabole	0
Anabrochismos, Anabronchismus	0
Anabrosis	0
Anacampseros	0
Anacar	0
Anacardios antidotus theodoretus	0
Anacardium	1
Anacatharsis	0
Anacathartica	0
Anacestos	0
Anachmus	0
Anachrempsis	0
Anacinemata	0
Anaclasis	0
Anaclinterium	0
Anaclisis	0
Anaclismos	0
Anacock	0
Anacoeliasmus	0
Anacollema	0
Ana-coluppa	0
Anacomide	0
Anaconchylismos	0
Anacos	0
Anacouphismata	0
Anactesis	0
Anactorion	0
Anacycleon	0
Anacyriosis	0
Anadendromalache	0
Anadiplosis	0
Anadosis	0
Anadrome	0
Anaedes	0
Anaedromos	0
Anaesthesia	0
Anagallis	1
Anagargalicta	0
Anagargariston	0
Anaglyphe	0
Anagnosis	0
Anagraphe	0
Anagyris	0
Anaides	0
Anaisthesia	0
Analces	0
