231	ADMISURAB	
232	ADNATA	
233	ADOLESCENS	
234	ADOS	
235	ADPLUMBATUM	
236	ADRAM	
237	ADRASTEA	ἀδράστεια
238	ADRIANUM	
239	ADROP	
240	ADSAMAR	
241	ADSELLARE	
242	ADSTANTES	παρέσιτος
243	ADSTRICTIO	στύψις
244	ADSTRINGENS	στύφον, παχυμερὴς
245	ADULTERATIO	δι'λωσις, δολισμὰς
246	ADULTERIUM	
247	ADUSTIO	
248	ADYNAMIA	άδιναμία
249	ADYNAMON	ἀδύναμο
250	ADYNATOS	άδύ, ατος
251	AEAZO	αιἀζω, θρηνέυ
252	IAEDES	ἀηδὴς
253	AEDOEA	αίδοία
254	AEGAGROPILUS	αιγαγροπτλ, ος, γαγρός, πιλος
255	AEGEIRINON	ἀιγείρι, ον, ἄιγειρος
256	AEGER	νοσερός
257	AEGIAS	αίγειι'ς, αίγά
258	AEGIDION	αίγίδίον, στατικὸν
259	AEGILOPS	τὰγελ, ωψ, ἀγχάλωψ
260	AEGLIA	αίγλία, αίγλίη, αίγεάς
261	AEGOPROSOPON	αίγο, πρόσωπον, τὰγρδίον
262	AEGYPTION	αίχύπτιον, μενδὴσιο
263	AEIDES	ἀειδὴς
264	AEIGLEUCES	ἀειγλενκσὲ
265	AEIPATHEIA	Ἀπάθεια;
266	AEOLASTHAE	αστόλῶσθαι
267	AEOLIPYLAE	αϊολόπυλαμ
268	AEON	αιιὺν, περὶ, ἀιῶνος
269	AEONESIS	ἀιωστήσις, ἀιωνάω
270	AEORA	αίώρα;
271	AEPOS	αταίος
272	AEQUALE	τὸ, ὀμαλ, ίσο
273	AEQUANTIA	
274	AEQUE	
275	AEQUILIBRIUM	
276	AEQUIPOLLENS	ιπσθενὴς
277	AER	ἀὴρ
278	AERDADI	
279	AEREOLUM	χαλκοῦς
280	AEREUS	ἀέρι, ος, ἡέριος
281	AEKIFICATIO	
282	AEROLOGICE	ἀερολογεκὴ
283	AEROMELI	ἀερο'μελι
284	AEROPHIOBAE	
285	AEROSIS	ἀέρωσις
286	AERUGINOSABILIS	ι’ἀδης, χολκί
287	AERUGO	ιὸς
288	AERUMNA	
289	AERYSIPELAS	
290	AES	χαλκὸς
291	AESALO	αίσάλαν
292	AESCHOS	ἄιχος
293	AESCHROMYTHEO	αίχρομυθδην
294	AESCHROPOSEO	αίχροποιέι»
295	AESTAS	θίρος
296	AESTATES	
297	AESTHESIS	ἀισθητὴριοε, αίσθητὸι
298	AESTIMATIO	πάησις
299	AESTPHARA	
300	AESTUARIUM	
301	AESTUATIO	κάυσις
302	AESTUS	καῦμα
303	AETAS	ἡλικία
304	AETHALE	ἀιθάλ, ἄιθαλος
305	AETHER	αί0ὴρ
306	AETHES	ἄηθες
307	AETHIOPS	ἀι0ίκ
308	AETHNA	
309	AETHOLICES	αίθολίκες, αίθαλίκες, ὰι0ω
310	AETHYIA	ἀιθύια
311	AETIA	αιτιον
312	AETIOLOGIA	ἀιτιολογία
313	AETITES	τίτης
314	AETOMA	
315	AFFECTIO	πάθος, πάθημα
316	AFFECTUS	
317	AFFECTUS	
318	AFFENICUM	
319	AFFEOS	
320	AFEIDRA	
321	AFFION	
322	AFFLATUS	ἐπίπνοια
323	AFFLICTIO	
324	AFFODIUS	
325	AFFORMAS	
326	AFFUSIO	πρόχυσις
327	AFRA	
328	AFROB	
329	AGALACTOS	ἀγάλ, αητος
330	AGALLOCHUM	ἀγάλλοχον, ξυλαλόη
331	AGAPE	άγάπη
332	AGAR	
333	AGARICUM	ἀγαρικὸν
334	AGATHON	ἀγαθόν
335	AGELLOS	ἀγελαῦος, ἀγοραῖος
336	AGENS	δρῷν, ἐνεργεῖν
337	AGER	αρὶρός
338	AGERASIA	ἀγαραπά, ἀγῆρως
339	AGERATUS	ἀγῆρατος
340	AGES	άγά, ἀγοστὸς
341	AGEUSTIA	ἀγενπά
342	AGGLUTINATIO	
343	AGGREGATUM	
344	AGITATIO	
345	AGLIA	αγὼλίη
346	AGLOSSOSTOMOGRAPHIA	ἀγλωασσοστομογραφία
347	AGME	ἀγμὴ, ιεγίμα
348	AGNATA	ἐπιφυὀῥεενα
349	AGNATA	
350	AGNINA	
351	AGNOEA	ἄγνοια
352	AGNUS	
353	AGO	ἄγω
354	AGOGE	ἀγωγῆ
355	AGON	άγὼν, ἀγὼι
356	AGONIA	ἀγοντά
357	AGONIA	ἀγωντά, ἀγωνιῷν
358	AGONISTICE	ἀγωνιστικιῦς
359	AGONISTICON	ἀγωνιστικὸν
360	AGONOS	ἄγονος, γονιμος
361	AGORAEOS	ἀγονοϊος, αγὼλαῦος
362	AGOSTUS	ἀγοστὸς
363	AGRESTA	ὄμφακες
364	AGRESTEN	
365	AGRESTIS	ἄγριος
366	AGRICULTURA	γεωργικὴ
367	AGRIPPAE	
368	AGROECOPYRRHONEIOS	άγροικοπυρχάνειος
369	AGRONOMOS	ἀγρόνομος
370	AGROPHON	αγροφον, ὀρεινὸν
371	AGRUMINA	
372	AGRYPNIA	ἀγρυπνήα
373	AGRYPNOCOMA	ἀγρυπκο'κωμα
374	AGYION	ἀγυι
375	AGYRTAE	άγῦρται
376	AHIUS	
377	AHUSAL	
378	AIDRIS	ἀιδιρις, ιδρις, ισημι
379	AIO	ἀίω
380	AIPATHIA	ἀειπάθεια, ἀπάθεια
381	AISSO	ἀίασσω
382	AITRUAD	
383	AKIBOT	
384	AKON	
385	ALA	
386	ALABANDICUS	ἀλαβανδίκαὶ, λίθος, ἀλαβανδίν, ος
387	ALABARI	
388	ALABASTRITES	ἀλαβαστρίτης
389	ALACAB	
390	ALACUOTH	
391	ALAPI	
392	ALAFORT	
393	ALAFREG	
394	ALAHABAR	
395	ALAHATIBIS	
396	ALAIA	ἀλαΐα
397	ALAMANDINA	
398	ALANFUTA	
399	ALARIS	ππρυγοειδὴς
400	ALASALET	
401	ALASTAR	
402	ALASTOR	ἀλάστωρ
403	ALASTROB	
404	ALATHAR	
405	ALATUS	ππρυγὼδης
406	ALAUDA	κὸρις, κοῤνδος, κορύδαλος, κοονδαλλὸς
407	ALAURAT	
408	ALAZON	ἀλαζὼν
409	ALBA	
410	ALBA	
411	ALBA	
412	ALBADARA	
413	ALBAGIAZI	
414	ALBANUM	
415	ALBARA	
416	ALBARAS	
417	ALBATIO	
418	ALBEDO	
419	ALBERIK	
420	ALBI	
421	ALBIFICATIO	
422	ALBOR	λενκοπὴς
423	ALBORA	
424	ALBOT	
425	ALBOTAR	
426	ALBOTIM	
427	ALBOTIS	Τε'ρμινθος
428	ALBUGINEUS	
429	ALBUGO	λένκωμα
430	ALBULA	ἅλβουλα
431	ALBUM	λευκὸν
432	ALBUMEN	λένκωμα, λενκὸν
433	ALBURNUM	
434	ALBURNUS	λευκίσκος
435	ALBUS	λενκαὶ
436	ALCAHEST	
437	ALCALI	
438	ALCAOL	
439	ALCAR	ἅλκαρ, βοήθημα
440	ALCE	ἄλκη
441	ALCEBRIS	
442	ALCEDO	ἀλκνἄν
443	ALCHARIT	
444	ALCHAZONON	
445	ALCHEMIA	
446	ALCHIEN	χαραλαχικὴ
447	ALCHITRUM	
448	ALCHYMIA	
449	ALCHYTRAN	
450	ALCIMAD	
451	ALCOB	
452	ALCOFOL	
453	ALCOHOL	
454	ALCOL	
455	ALCOLA	
456	ALCONE	
457	ALCOR	
458	ALCORE	
459	ALCUBA	
460	ALCUBRID	
461	ALCYONIA	
462	ALDABARAM	
463	ALECHARITH	
464	ALECHIL	
465	ALECTORIUS	ἀλεκτέριος, άλεκτορὶα
466	ALEIMMA	ἄλειμμα, ἄλειφα, ἄλ, ειφαρ
467	ALEION	αἈὸίων, ἀλστῖων
468	ALEIPHA	ἄλειφα, ἔλαμον
469	ALEMA	ἄλημα, ἄλητον, ἄλευργε
470	ALEMBIC	
471	ALEMBICUS	
472	ALEMBROTH	
473	ALENON	ἄληννν
474	ALEORE	ἀλεωρὴ
475	ALEOS	ἄλεος, ἀλεὸς
476	ALES	ἄλες, ἄλες
477	ALES	
478	ALEURON	ἄλευριν, ἐκέιει;
479	ALEXANDRINUM	άλεξανδρίνη, ἔμπλαστρος
480	ALEXANTHI	
481	ALEXASTHAE	ἀλέξασθαμ
482	ALEXIPHARMACA	ἀλεξιφάρμακα, ἀλεξ, τὴρια
483	ALEXIPYRETOS	ἀλεξιπνρετος
484	ALEXIR	
485	ALEXITERIUM	α'λεξιτὴριον
486	ALEZARAM	
487	ALFACTA	
