cote	entry	grec
_27898	Axoido-atloïdien	
_27898	Ayaloogi	
_27898	Aydendron	
_27898	Azadirachta indica	
_27898	Azadirine	
_27898	Azahar	
_27898	Azédarach	
_27898	Azier	
_27898	Azoïques	
_27898	Azoophilie	
_27898	Azoospermie	
_27898	Azorelle	
_27898	Azotation	
_27898	Azoténése	
_27898	Azotomètre	
_27898	Aztec, Aztèque	
_27898	Azyl	
_27898	Babinski	
_27898	Baccelli	
_27898	Bacillaire	
_27898	Bacille	
_27898	Bacillémie	
_27898	Bacilloscopie	
_27898	Bacteriacees	
_27898	Bactericide	
_27898	Bagtéridien	
_27898	Bactériémie	
_27898	Bactériologie	
_27898	Bactérioscopie	
_27898	Bacterium	
_27898	Bactériurie	
_27898	Baden	
_27898	Baden	
_27898	Baden-Baden	
_27898	Badenweiler	
_27898	Bad-Laubbach	
_27898	Bad-Rehburg	
_27898	Bagnères-de-Bigorre	
_27898	Bagnères-de-Luchon	
_27898	Bagnoles	
_27898	Bagnols	
_27898	Bains	
_27898	Balanorragie, Balanorrhée	
_27898	Balaruc	
_27898	Balaton-fured	
_27898	Balayage	
_27898	Balessan	
_27898	Balneotherapie	
_27898	Bamberger	
_27898	Banas de Montemayor	
_27898	Banban	
_27898	Bancoulier	
_27898	Bandl	
_27898	Banksia abyssinica	
_27898	Banti	
_27898	Baptisie	
_27898	Baptisine	
_27898	Baquet	
_27898	Baræsthésiomètre	
_27898	Barbazan	
_27898	Sarbérie	
_27898	Barbotan	
_27898	Barèges	
_27898	Babille	
_27898	Barlow	
_27898	Barométrographe	
_27898	Barosma	
_27898	Barotropisme	
_27898	Bartholin	
_27898	Bartholinite	
_27898	Baryté	
_27898	Barzun	
_27898	Bas	
_27898	Basal	
_27898	Basedow	
_27898	Basement membrane	
_27898	Basicine	
_27898	Basio-kérato-glosse	
_27898	Basiotribe	
_27898	Basiotripsie	
_27898	Bâtard	
_27898	Bateman	
_27898	Bath	
_27898	Batrachoplastie, Batrachosioplastie	
_27898	Battage	
_27898	Battaglia	
_27898	Bauche	
_27898	Bauhinie	
_27898	Baume	
_27898	Baumes	
_27898	Bayle	
_27898	Bazin	
_27898	Beard	
_27898	Beau	
_27898	Beaulieu	
_27898	Begcabumga	
_27898	Béchion	
_27898	Béchique	
_27898	Beckenried	
_27898	Béclard	
_27898	Bednar	
_27898	Beggiatoa	
_27898	Béhen	
_27898	Beigel	
_27898	Béla, Bélou	
_27898	Belalp	
_27898	Belleville	
_27898	Belmas	
_27898	Bélonéphobie	
_27898	Bélonie	
_27898	Bélonoïde	
_27898	Bénédict	
_27898	Benedikt	
_27898	Ben-Haroun	
_27898	Benignite	εύήθεια
_27898	Béniqué	
_27898	Benzacétine	
_27898	Benzeugénol	
_27898	Benzoïl-tropéine	
_27898	Benzoin	
_27898	Benzonaphtol	
_27898	Benzosol	
_27898	Ben’oyle	
_27898	Benzyle	
_27898	Berck-sur-Mer	
_27898	Bergamiléne	
_27898	Bergamotier	
_27898	Berger	
_27898	Bergera	
_27898	Bergeron	
_27898	Bergue	
_27898	Beringerbad	
_27898	Bérisal	
_27898	Berka	
_27898	Bertrich	
_27898	Bestialité	
_27898	Bétaïne	
_27898	Betel	
_27898	Bétol	
_27898	Betula alba	
_27898	Bex	
_27898	Biarritz	
_27898	Bibra	
